year,counterfactual,igcc,lasp_adjusted
1750,0.102215039,0.102215039,0.102215039
1751,0.097800073,0.097800073,0.097800073
1752,0.079453784,0.079453784,0.079453784
1753,0.049375854,0.049375854,0.049375854
1754,0.013198096,0.013198096,0.013198096
1755,-0.021216797,-0.021216797,-0.021216797
1756,-0.045694116,-0.045694116,-0.045694116
1757,-0.053276001,-0.053276001,-0.053276001
1758,-0.034134082,-0.034134082,-0.034134082
1759,0.017223047,0.017223047,0.017223047
1760,0.067722144,0.067722144,0.067722144
1761,0.092605078,0.092605078,0.092605078
1762,0.086458447,0.086458447,0.086458447
1763,0.064368018,0.064368018,0.064368018
1764,0.031029565,0.031029565,0.031029565
1765,-0.005725415,-0.005725415,-0.005725415
1766,-0.035569336,-0.035569336,-0.035569336
1767,-0.049687866,-0.049687866,-0.049687866
1768,-0.036505371,-0.036505371,-0.036505371
1769,0.019656738,0.019656738,0.019656738
1770,0.085803223,0.085803223,0.085803223
1771,0.117472412,0.117472412,0.117472412
1772,0.109921729,0.109921729,0.109921729
1773,0.086988867,0.086988867,0.086988867
1774,0.051045117,0.051045117,0.051045117
1775,0.010296387,0.010296387,0.010296387
1776,-0.025428955,-0.025428955,-0.025428955
1777,-0.04658335,-0.04658335,-0.04658335
1778,-0.042776807,-0.042776807,-0.042776807
1779,0.00185647,0.00185647,0.00185647
1780,0.073260352,0.073260352,0.073260352
1781,0.116037158,0.116037158,0.116037158
1782,0.115881152,0.115881152,0.115881152
1783,0.09159104,0.09159104,0.09159104
1784,0.054726855,0.054726855,0.054726855
1785,0.011201221,0.011201221,0.011201221
1786,-0.025491357,-0.025491357,-0.025491357
1787,-0.044789282,-0.044789282,-0.044789282
1788,-0.031091968,-0.031091968,-0.031091968
1789,0.037519409,0.037519409,0.037519409
1790,0.117659619,0.117659619,0.117659619
1791,0.14483584,0.14483584,0.14483584
1792,0.13073291,0.13073291,0.13073291
1793,0.112558228,0.112558228,0.112558228
1794,0.081778271,0.081778271,0.081778271
1795,0.045912524,0.045912524,0.045912524
1796,0.008018701,0.008018701,0.008018701
1797,-0.025850171,-0.025850171,-0.025850171
1798,-0.050889111,-0.050889111,-0.050889111
1799,-0.063119971,-0.063119971,-0.063119971
1800,-0.060592676,-0.060592676,-0.060592676
1801,-0.042386792,-0.042386792,-0.042386792
1802,-0.01251167,-0.01251167,-0.01251167
1803,0.015631787,0.015631787,0.015631787
1804,0.032792432,0.032792432,0.032792432
1805,0.035070117,0.035070117,0.035070117
1806,0.026520996,0.026520996,0.026520996
1807,0.012043652,0.012043652,0.012043652
1808,-0.008003101,-0.008003101,-0.008003101
1809,-0.029656714,-0.029656714,-0.029656714
1810,-0.049173047,-0.049173047,-0.049173047
1811,-0.062589551,-0.062589551,-0.062589551
1812,-0.067285327,-0.067285327,-0.067285327
1813,-0.062012329,-0.062012329,-0.062012329
1814,-0.04633374,-0.04633374,-0.04633374
1815,-0.025428955,-0.025428955,-0.025428955
1816,-0.006458643,-0.006458643,-0.006458643
1817,0.005148193,0.005148193,0.005148193
1818,0.006895459,0.006895459,0.006895459
1819,-0.000452417,-0.000452417,-0.000452417
1820,-0.01385332,-0.01385332,-0.01385332
1821,-0.031169971,-0.031169971,-0.031169971
1822,-0.047768994,-0.047768994,-0.047768994
1823,-0.059188623,-0.059188623,-0.059188623
1824,-0.061591113,-0.061591113,-0.061591113
1825,-0.049968677,-0.049968677,-0.049968677
1826,-0.020031152,-0.020031152,-0.020031152
1827,0.013354102,0.013354102,0.013354102
1828,0.037753418,0.037753418,0.037753418
1829,0.045163696,0.045163696,0.045163696
1830,0.036130957,0.036130957,0.036130957
1831,0.016396216,0.016396216,0.016396216
1832,-0.010155981,-0.010155981,-0.010155981
1833,-0.035272925,-0.035272925,-0.035272925
1834,-0.05084231,-0.05084231,-0.05084231
1835,-0.048299414,-0.048299414,-0.048299414
1836,-0.014945361,-0.014945361,-0.014945361
1837,0.044071655,0.044071655,0.044071655
1838,0.088002905,0.088002905,0.088002905
1839,0.099828149,0.099828149,0.099828149
1840,0.086146436,0.086146436,0.086146436
1841,0.063712793,0.063712793,0.063712793
1842,0.030920361,0.030920361,0.030920361
1843,-0.003931348,-0.003931348,-0.003931348
1844,-0.034258887,-0.034258887,-0.034258887
1845,-0.052792383,-0.052792383,-0.052792383
1846,-0.05404043,-0.05404043,-0.05404043
1847,-0.041669165,-0.041669165,-0.041669165
1848,-0.029329102,-0.029329102,-0.029329102
1849,-0.016957837,-0.016957837,-0.016957837
1850,-0.004586572,-0.004586572,-0.004586572
1851,0.007755115,0.007755115,0.007755115
1852,0.002283199,0.002283199,0.002283199
1853,0.001503155,0.001503155,0.001503155
1854,-0.008608617,-0.008608617,-0.008608617
1855,-0.022483778,-0.022483778,-0.022483778
1856,-0.031076153,-0.031076153,-0.031076153
1857,-0.033493861,-0.033493861,-0.033493861
1858,-0.027442585,-0.027442585,-0.027442585
1859,-0.010582326,-0.010582326,-0.010582326
1860,0.003677079,0.003677079,0.003677079
1861,0.014255227,0.014255227,0.014255227
1862,0.012137769,0.012137769,0.012137769
1863,-0.000113051,-0.000113051,-0.000113051
1864,-0.00729009,-0.00729009,-0.00729009
1865,-0.014365156,-0.014365156,-0.014365156
1866,-0.02002363,-0.02002363,-0.02002363
1867,-0.022910636,-0.022910636,-0.022910636
1868,-0.027321755,-0.027321755,-0.027321755
1869,-0.017514599,-0.017514599,-0.017514599
1870,0.00030808,0.00030808,0.00030808
1871,0.001711748,0.001711748,0.001711748
1872,0.012501711,0.012501711,0.012501711
1873,0.006781097,0.006781097,0.006781097
1874,-0.002874825,-0.002874825,-0.002874825
1875,-0.011223703,-0.011223703,0.020258509
1876,-0.026864081,-0.026864081,-0.010357729
1877,-0.034041629,-0.034041629,-0.016949614
1878,-0.038585891,-0.038585891,-0.015226405
1879,-0.044414996,-0.044414996,-0.031352064
1880,-0.043133184,-0.043133184,-0.025760688
1881,-0.02914475,-0.02914475,0.007796568
1882,-0.009765283,-0.009765283,0.039743802
1883,-0.0139294,-0.0139294,0.036293136
1884,-0.016904667,-0.016904667,0.0309212
1885,0.006303574,0.006303574,0.039309109
1886,-0.008147652,-0.008147652,0.027169677
1887,-0.024589088,-0.024589088,-0.004491904
1888,-0.0347705,-0.0347705,-0.018322876
1889,-0.03873455,-0.03873455,-0.025788966
1890,-0.040153643,-0.040153643,-0.026402852
1891,-0.036669284,-0.036669284,-0.025321448
1892,-0.011180534,-0.011180534,0.011622165
1893,0.009687197,0.009687197,0.051139955
1894,0.026166585,0.026166585,0.061179991
1895,0.045983347,0.045983347,0.060288223
1896,0.027203746,0.027203746,0.043753493
1897,0.001572803,0.001572803,0.023562737
1898,-0.014835431,-0.014835431,-0.007933364
1899,-0.022544941,-0.022544941,-0.000689788
1900,-0.031760399,-0.031760399,-0.016287728
1901,-0.037104946,-0.037104946,-0.018715824
1902,-0.046172392,-0.046172392,-0.030895973
1903,-0.044020665,-0.044020665,-0.027241573
1904,-0.025593424,-0.025593424,-0.0015144
1905,0.007650937,0.007650937,0.03055221
1906,-0.007035736,-0.007035736,0.028466711
1907,0.016989508,0.016989508,0.039858629
1908,0.003997426,0.003997426,0.035240647
1909,0.012103199,0.012103199,0.032421147
1910,-0.004713129,-0.004713129,0.020238811
1911,-0.017121066,-0.017121066,-0.005060589
1912,-0.035164704,-0.035164704,-0.023424713
1913,-0.042070688,-0.042070688,-0.025565572
1914,-0.040539982,-0.040539982,-0.027915723
1915,-0.026775991,-0.026775991,-0.017528721
1916,0.012960753,0.012960753,0.032999043
1917,0.044951,0.044951,0.051362064
1918,0.066088955,0.066088955,0.098534665
1919,0.069872033,0.069872033,0.08297172
1920,0.03721586,0.03721586,0.044766403
1921,0.006247097,0.006247097,0.012347569
1922,-0.012936006,-0.012936006,0.000618754
1923,-0.030427682,-0.030427682,-0.016317827
1924,-0.034474303,-0.034474303,-0.020291062
1925,-0.026714256,-0.026714256,-0.009614483
1926,-0.005576675,-0.005576675,0.01692982
1927,0.022760144,0.022760144,0.040479298
1928,0.046467863,0.046467863,0.062001668
1929,0.030929014,0.030929014,0.058186732
1930,0.022965815,0.022965815,0.03546579
1931,0.023177128,0.023177128,0.025963624
1932,0.000975443,0.000975443,0.005086486
1933,-0.015562053,-0.015562053,-0.007667929
1934,-0.022505192,-0.022505192,-0.015364159
1935,-0.014754991,-0.014754991,-0.008695529
1936,0.011807207,0.011807207,0.022194144
1937,0.069491105,0.069491105,0.086264791
1938,0.072716596,0.072716596,0.106018594
1939,0.062298183,0.062298183,0.095255975
1940,0.05939626,0.05939626,0.080152209
1941,0.039991591,0.039991591,0.061944184
1942,0.024234164,0.024234164,0.046934651
1943,0.005791151,0.005791151,0.021038326
1944,-0.012855396,-0.012855396,-0.001424199
1945,-0.00760081,-0.00760081,-0.002831384
1946,0.027684672,0.027684672,0.034592725
1947,0.044758679,0.044758679,0.073853336
1948,0.090184252,0.090184252,0.10589299
1949,0.105744011,0.105744011,0.120703063
1950,0.090747839,0.090747839,0.102941885
1951,0.057158453,0.057158453,0.066752401
1952,0.012638911,0.012638911,0.040210461
1953,0.010661935,0.010661935,0.017856264
1954,-0.002371802,-0.002371802,0.002590519
1955,-0.002214728,-0.002214728,-0.006404548
1956,0.025055738,0.025055738,0.013218868
1957,0.085120676,0.085120676,0.080355729
1958,0.140971596,0.140971596,0.137352377
1959,0.148348622,0.148348622,0.133737861
1960,0.116747134,0.116747134,0.095686854
1961,0.095109484,0.095109484,0.075872974
1962,0.047058505,0.047058505,0.027527652
1963,0.013677183,0.013677183,0.004527425
1964,0.002084495,0.002084495,-0.002895331
1965,-0.003225144,-0.003225144,-0.005396178
1966,-0.000255593,-0.000255593,-0.001165285
1967,0.025326675,0.025326675,0.023004714
1968,0.057061643,0.057061643,0.049205245
1969,0.073798401,0.073798401,0.055842114
1970,0.076757746,0.076757746,0.063895036
1971,0.078687518,0.078687518,0.062460447
1972,0.050055185,0.050055185,0.026213592
1973,0.048265187,0.048265187,0.035889132
1974,0.019473292,0.019473292,0.007593017
1975,0.005395537,0.005395537,-0.002105543
1976,0.005675237,0.005675237,-0.00985309
1977,0.001041957,0.001041957,-0.012921573
1978,0.03112505,0.03112505,0.008197348
1979,0.077248973,0.077248973,0.054993359
1980,0.115961036,0.115961036,0.099838095
1981,0.108322711,0.108322711,0.102589091
1982,0.11087221,0.11087221,0.108638159
1983,0.067596484,0.067596484,0.053201798
1984,0.065785705,0.065785705,0.053732452
1985,0.014804317,0.014804317,0.002611781
1986,-0.002380265,-0.002380265,-0.015699052
1987,-0.000259183,-0.000259183,-0.015399782
1988,0.010584463,0.010584463,0.000936341
1989,0.055609312,0.055609312,0.038900783
1990,0.117371927,0.117371927,0.100030819
1991,0.105951871,0.105951871,0.089859919
1992,0.104195202,0.104195202,0.076143088
1993,0.083534446,0.083534446,0.058792354
1994,0.034701259,0.034701259,0.024574149
1995,0.005129601,0.005129601,-0.002520196
1996,-0.000487593,-0.000487593,-0.013379585
1997,-0.012655272,-0.012655272,-0.023393436
1998,0.003701228,0.003701228,-0.008693127
1999,0.05061655,0.05061655,0.033704112
2000,0.085073072,0.085073072,0.066735024
2001,0.110136855,0.110136855,0.100800199
2002,0.099598671,0.099598671,0.079173254
2003,0.104868677,0.104868677,0.092297186
2004,0.043571881,0.043571881,0.029594428
2005,0.016789555,0.016789555,0.001272649
2006,-0.009682365,-0.009682365,-0.025464447
2007,-0.015652004,-0.015652004,-0.02958134
2008,-0.0271628,-0.0271628,-0.038796996
2009,-0.029668862,-0.029668862,-0.035922126
2010,-0.029721937,-0.029721937,-0.03704602
2011,-0.007547777,-0.007547777,-0.018989824
2012,0.026778812,0.026778812,0.013131065
2013,0.041142496,0.041142496,0.032435656
2014,0.049433641,0.049433641,0.03700851
2015,0.059315907,0.059315907,0.045223246
2016,0.02942091,0.02942091,0.051915805
2017,-0.007377415,-0.007377415,-0.006038838
2018,-0.01725677,-0.01725677,-0.027484835
2019,-0.021257743,-0.021257743,-0.032631615
2020,-0.021963061,-0.021963061,-0.035331137
2021,-0.016758823,-0.016758823,-0.029713301
2022,0,0.019767054,-0.012314368
2023,0,0.059602872,0.038201724
2024,0,0.082191409,0.085599238
2025,0,0.091047066,0.091047066